date,rides-per-day,passengers
1/1/2014,420810,769277
1/2/2014,359958,623113
1/3/2014,275470,489378
,,
,,
,,
,,
,,
,,
,,
,,
1/4/2014,417499,745939
1/5/2014,388542,679426
1/6/2014,395445,657983
1/7/2014,460052,769333
1/8/2014,473611,789963
1/9/2014,479714,805123
1/10/2014,507732,860829
1/11/2014,511172,903653
1/12/2014,450487,784303
1/13/2014,419698,692119
1/14/2014,454108,751853
1/15/2014,466443,771827
1/16/2014,482037,802945
1/17/2014,490852,828822
1/18/2014,507033,899720
1/19/2014,462238,813606
1/20/2014,378450,641886
1/21/2014,255518,421685
1/22/2014,377773,633486
1/23/2014,462469,771829
1/24/2014,509509,863316
1/25/2014,530551,938469
1/26/2014,457026,797914
1/27/2014,418863,688488
1/28/2014,468729,772731
1/29/2014,477984,791124
1/30/2014,495971,821332
1/31/2014,526748,890097
2/1/2014,533783,942668
2/2/2014,464225,809650
2/3/2014,382517,640930
2/4/2014,454444,750389
2/5/2014,413853,690387
2/6/2014,478790,794918
2/7/2014,512218,865506
2/8/2014,549967,968158
2/9/2014,466492,811404
2/10/2014,435911,718139
2/11/2014,489373,811505
2/12/2014,481968,792167
2/13/2014,326187,552230
2/14/2014,472229,805226
2/15/2014,491375,876588
2/16/2014,457332,811751
2/17/2014,391723,669148
2/18/2014,419655,700243
2/19/2014,446126,742353
2/20/2014,466020,777153
2/21/2014,503515,851581
2/22/2014,522080,921835
2/23/2014,442458,770385
2/24/2014,439480,725367
2/25/2014,472383,783209
2/26/2014,492982,814740
2/27/2014,512342,852562
2/28/2014,544363,914756
3/1/2014,554906,975441
3/2/2014,462065,799944
3/3/2014,463982,769247
3/4/2014,499349,827190
3/5/2014,508381,843690
3/6/2014,531137,888449
3/7/2014,547177,922432
3/8/2014,551574,972621
3/9/2014,473451,826864
3/10/2014,442200,734485
3/11/2014,456983,757115
3/12/2014,483326,802636
3/13/2014,549191,913546
3/14/2014,539176,907414
3/15/2014,547916,967231
3/16/2014,485008,843633
3/17/2014,433321,723574
3/18/2014,469975,777361
3/19/2014,489567,812656
3/20/2014,500070,832719
3/21/2014,516535,872309
3/22/2014,534441,940534
3/23/2014,480744,837717
3/24/2014,443322,731832
3/25/2014,461531,764470
3/26/2014,502757,835765
3/27/2014,507907,849152
3/28/2014,522404,885148
3/29/2014,574530,1015296
3/30/2014,462771,805604
3/31/2014,432430,713514
4/1/2014,462503,765092
