date,rides-per-day_passengers
6/30/2013,417927_742604
7/1/2013,422480_714952
7/2/2013,442300_751318
7/3/2013,435265_744104
7/4/2013,326471_589482
7/5/2013,353054_628943
7/6/2013,355218_649346
7/7/2013,358766_640570
7/8/2013,413838_697960
7/9/2013,458674_775740
7/10/2013,474780_801459
7/11/2013,495023_834412
7/12/2013,507426_870097
7/13/2013,468743_844083
7/14/2013,435797_775604
7/15/2013,443449_744488
7/16/2013,466846_789394
7/17/2013,496511_839103
7/18/2013,513766_869506
7/19/2013,515946_885818
7/20/2013,485994_880353
7/21/2013,414532_739529
7/22/2013,440457_742497
7/23/2013,465257_785616
7/24/2013,476404_807111
7/25/2013,487993_824107
7/26/2013,483652_830052
7/27/2013,457849_824448
7/28/2013,415239_740174
7/29/2013,409210_691250
7/30/2013,443487_748930
7/31/2013,459413_776429
8/1/2013,307260_439382
8/2/2013,236748_306321
8/3/2013,226553_321976
8/4/2013,202310_283636
8/5/2013,406380_685680
8/6/2013,448250_757162
8/7/2013,465632_789201
8/8/2013,437140_726458
8/9/2013,489301_840878
8/10/2013,445037_804144
8/11/2013,195405_422883
8/12/2013,399261_672662
8/13/2013,449946_761537
8/14/2013,457843_774893
8/15/2013,473544_806388
8/16/2013,449766_774014
8/17/2013,438088_793468
8/18/2013,390925_693823
8/19/2013,397350_673902
8/20/2013,432545_730787
8/21/2013,454080_770560
8/22/2013,471247_798576
8/23/2013,464484_801803
8/24/2013,448491_810208
8/25/2013,400758_714997
8/26/2013,394409_668420
8/27/2013,422802_711336
8/28/2013,444727_749260
8/29/2013,455453_770923
8/30/2013,456824_792594
8/31/2013,434550_788429
9/1/2013,384470_695516
9/2/2013,332266_585677
9/3/2013,422359_708188
9/4/2013,453983_762610
9/5/2013,467390_794767
9/6/2013,508640_869368
9/7/2013,511269_913833
9/8/2013,462607_813351
9/9/2013,451162_753193
9/10/2013,483385_807650
9/11/2013,501093_838929
9/12/2013,503526_844211
9/13/2013,523280_888769
9/14/2013,518170_926754
9/15/2013,462795_811682
9/16/2013,444748_739513
9/17/2013,468093_781084
9/18/2013,484596_810147
9/19/2013,504010_844644
9/20/2013,523123_893546
9/21/2013,535226_956587
9/22/2013,457166_802229
9/23/2013,411837_687616
9/24/2013,435121_726441
9/25/2013,461769_770153
9/26/2013,484958_813067
9/27/2013,502250_856937
9/28/2013,526082_941230
9/29/2013,457888_803123
9/30/2013,424431_703867
10/1/2013,452769_753661
10/2/2013,475182_788894
10/3/2013,496807_830522
10/4/2013,520937_883004
10/5/2013,538444_954258
10/6/2013,457691_798019
10/7/2013,426030_705541
10/8/2013,459784_761527
10/9/2013,484883_806024
10/10/2013,507456_849643
10/11/2013,516171_878910
10/12/2013,524068_935159
10/13/2013,462766_817842
10/14/2013,403416_676830
10/15/2013,430354_709132
10/16/2013,477305_789520
10/17/2013,506341_843581
10/18/2013,526590_893826
10/19/2013,549186_974378
10/20/2013,473864_830005
10/21/2013,435562_717646
10/22/2013,466786_773547
10/23/2013,495387_822327
10/24/2013,513937_859855
10/25/2013,530999_900067
10/26/2013,536130_952815
10/27/2013,468421_818862
10/28/2013,432200_717370
10/29/2013,463945_768528
10/30/2013,481728_797786
10/31/2013,489417_823386
11/1/2013,555745_948419
11/2/2013,550253_978846
11/3/2013,482847_849476
11/4/2013,448323_743499
11/5/2013,467510_773022
11/6/2013,483207_800868
11/7/2013,508154_849591
11/8/2013,528447_897610
11/9/2013,545002_968326
11/10/2013,473151_828166
11/11/2013,417822_692597
11/12/2013,473987_782041
11/13/2013,492095_813610
11/14/2013,506377_840756
11/15/2013,514297_869035
11/16/2013,538546_949148
11/17/2013,464838_809900
11/18/2013,425004_698546
11/19/2013,475478_782446
11/20/2013,493407_814750
11/21/2013,497944_827430
11/22/2013,524547_880436
11/23/2013,553845_981383
11/24/2013,498122_868870
11/25/2013,445802_739762
11/26/2013,438122_733627
11/27/2013,447133_760581
11/28/2013,331610_593362
11/29/2013,373808_670655
11/30/2013,433028_783981
12/1/2013,398089_694982
12/2/2013,427094_705014
12/3/2013,463782_768961
12/4/2013,471838_780151
12/5/2013,498220_833449
12/6/2013,530748_905778
12/7/2013,552655_985520
12/8/2013,488180_861730
12/9/2013,452108_750284
12/10/2013,478456_796007
12/11/2013,485363_811128
12/12/2013,507534_855050
12/13/2013,543606_925658
12/14/2013,516303_923240
12/15/2013,458267_803302
12/16/2013,454088_757958
12/17/2013,481726_804311
12/18/2013,488390_815666
12/19/2013,496031_834659
12/20/2013,520424_884753
12/21/2013,478717_852582
12/22/2013,403373_714149
12/23/2013,385241_660243
12/24/2013,369596_648147
12/25/2013,245723_444759
12/26/2013,321895_574265
12/27/2013,381837_683175
12/28/2013,391307_716298
12/29/2013,407235_737679
12/30/2013,405705_717345
12/31/2013,467587_832405
