date,rides-per-day_passengers
1/1/2013,412630_757330
1/2/2013,393001_673595
1/3/2013,441233_748249
1/4/2013,478437_816937
1/5/2013,473804_843966
1/6/2013,403667_706320
1/7/2013,407363_669049
1/8/2013,441778_726230
1/9/2013,457471_754717
1/10/2013,487949_806377
1/11/2013,521398_878758
1/12/2013,507429_893678
1/13/2013,442541_772928
1/14/2013,443650_730744
1/15/2013,496899_820106
1/16/2013,500065_827827
1/17/2013,512533_849951
1/18/2013,543734_921048
1/19/2013,510530_910903
1/20/2013,459393_813521
1/21/2013,384614_651113
1/22/2013,496005_818394
1/23/2013,520520_864764
1/24/2013,533039_902069
1/25/2013,537188_906671
1/26/2013,557203_985888
1/27/2013,470833_823493
1/28/2013,450789_742321
1/29/2013,477380_787907
1/30/2013,482378_793840
1/31/2013,531161_882720
2/1/2013,567076_958335
2/2/2013,569777_1010349
2/3/2013,472623_822900
2/4/2013,457093_753176
2/5/2013,482637_792709
2/6/2013,506443_839227
2/7/2013,535105_886344
2/8/2013,432643_730427
2/9/2013,392006_698776
2/10/2013,459612_808983
2/11/2013,458947_758137
2/12/2013,503963_837270
2/13/2013,524250_870871
2/14/2013,527476_887917
2/15/2013,537129_908906
2/16/2013,542291_971677
2/17/2013,506209_906585
2/18/2013,407104_694364
2/19/2013,456383_757348
2/20/2013,512507_850257
2/21/2013,538079_897558
2/22/2013,558738_948824
2/23/2013,584812_1037775
2/24/2013,474783_827403
2/25/2013,451955_746311
2/26/2013,496612_824373
2/27/2013,509033_843005
2/28/2013,524890_873977
3/1/2013,564492_956896
3/2/2013,584654_1043058
3/3/2013,493312_868042
3/4/2013,466591_769985
3/5/2013,493815_817088
3/6/2013,518309_861788
3/7/2013,538316_898813
3/8/2013,545587_924113
3/9/2013,562200_995289
3/10/2013,468337_823866
3/11/2013,451483_744284
3/12/2013,494922_826577
3/13/2013,514843_858025
3/14/2013,552660_925968
3/15/2013,559360_950155
3/16/2013,574056_1030509
3/17/2013,493734_865937
3/18/2013,458062_764739
3/19/2013,477028_791480
3/20/2013,493779_821037
3/21/2013,505003_858729
3/22/2013,548247_931406
3/23/2013,553332_985357
3/24/2013,468001_824506
3/25/2013,438928_737700
3/26/2013,460401_776914
3/27/2013,486853_822855
3/28/2013,512225_873418
3/29/2013,519004_905370
3/30/2013,504537_913634
3/31/2013,447157_797541
4/1/2013,428997_721813
4/2/2013,495549_835776
4/3/2013,513864_865992
4/4/2013,532590_899445
4/5/2013,554436_948763
4/6/2013,533177_956599
4/7/2013,461165_815903
4/8/2013,440520_733637
4/9/2013,477161_796632
4/10/2013,503211_839589
4/11/2013,525206_879445
4/12/2013,564860_959941
4/13/2013,555218_989809
4/14/2013,485706_858244
4/15/2013,461076_771806
4/16/2013,481130_807468
4/17/2013,501840_839331
4/18/2013,526055_885607
4/19/2013,544060_929838
4/20/2013,570929_1018593
4/21/2013,483324_853150
4/22/2013,457622_761912
4/23/2013,498802_836486
4/24/2013,500551_842293
4/25/2013,518574_877116
4/26/2013,539015_922365
4/27/2013,538317_964115
4/28/2013,467900_823957
4/29/2013,459114_767275
4/30/2013,480499_804257
5/1/2013,496654_836785
5/2/2013,523150_880098
5/3/2013,550959_943720
5/4/2013,554561_991179
5/5/2013,488396_862405
5/6/2013,468128_778606
5/7/2013,490805_824608
5/8/2013,509311_853585
5/9/2013,526752_890230
5/10/2013,538311_916069
5/11/2013,540132_958907
5/12/2013,461193_816085
5/13/2013,460124_766942
5/14/2013,490347_820868
5/15/2013,508359_854256
5/16/2013,528160_890492
5/17/2013,533823_913116
5/18/2013,535926_956863
5/19/2013,489710_868853
5/20/2013,466778_783864
5/21/2013,499524_845624
5/22/2013,502907_847220
5/23/2013,492055_831323
5/24/2013,493125_850026
5/25/2013,453460_817723
5/26/2013,384516_693672
5/27/2013,336266_594629
5/28/2013,445789_750625
5/29/2013,479913_804869
5/30/2013,510309_864949
5/31/2013,525606_900814
6/1/2013,533686_952515
6/2/2013,451758_798882
6/3/2013,452843_751733
6/4/2013,477247_801390
6/5/2013,497525_835149
6/6/2013,515390_873559
6/7/2013,532092_913316
6/8/2013,489509_876299
6/9/2013,441053_780811
6/10/2013,461167_778231
6/11/2013,473608_797487
6/12/2013,486639_819312
6/13/2013,519795_878496
6/14/2013,507938_868221
6/15/2013,495600_887214
6/16/2013,421987_750548
6/17/2013,437845_737506
6/18/2013,467426_787180
6/19/2013,489915_829411
6/20/2013,499545_846433
6/21/2013,505615_870115
6/22/2013,474408_845927
6/23/2013,436668_774212
6/24/2013,437610_737229
6/25/2013,470671_795468
6/26/2013,487692_824410
6/27/2013,504877_856955
6/28/2013,506807_874095
6/29/2013,490613_885977
